Course Code,Course Name,School
BA-ARAB,Bachelor of Arts in Arabic Language,School of Humanities and Languages
BA-CDEV,Bachelor of Arts in Community Development,School of Social Sciences
BA-CRIM,Bachelor of Arts in Criminology and Security Management,School of Security and Criminal Justice
BA-DEV,Bachelor of Arts in Development Studies,School of Social Sciences
BA-FILM,Bachelor of Arts in Film and Animation Studies,School of Creative Arts and Media
BA-INTL,Bachelor of Arts in International Relations,School of Diplomacy and International Studies
BA-JUST,Bachelor of Arts in Justice and Security Studies,School of Law and Justice Studies
BA-MEDIA,Bachelor of Arts in Mass Media and Communication,School of Journalism and Communication
BA-PEACE,Bachelor of Arts in Peace Studies and Conflict Resolution,School of Peace and Conflict Studies
BA-PA,Bachelor of Arts in Public Administration,School of Public Affairs and Governance
BA-PAG,Bachelor of Arts in Public Administration and Governance,School of Public Affairs and Governance
BA-SOC,Bachelor of Arts in Sociology,School of Social Sciences
BA-SDEV,Bachelor of Arts in Sociology and Development,School of Social Sciences
BBIOMED,Bachelor of Biomedical Laboratory Science,School of Health Sciences
BBIT,Bachelor of Business Information Technology,School of Computing and Informatics
BBM,Bachelor of Business Management,School of Business and Economics
BCOM,Bachelor of Commerce,School of Business and Economics
BCN,Bachelor of Counselling,School of Psychology and Counselling
BEC,Bachelor of Economics,School of Economics
BECF,Bachelor of Economics and Finance,School of Economics
BECS,Bachelor of Economics and Statistics,School of Economics
BED-ECD,Bachelor of Education in Early Childhood Studies,School of Education
BED-SNE-P,Bachelor of Education in Special Needs Education (Primary Option),School of Education
BED-ARTS,Bachelor of Education (Arts),School of Education
BED-PRI,Bachelor of Education (Primary Education),School of Education
BED-PRI2,Bachelor of Education (Primary Option),School of Education
BED-SCI,Bachelor of Education (Science),School of Education
BED-SNE-S,Bachelor of Education in Special Needs Education (Secondary Option),School of Education
LLB,Bachelor of Laws,School of Law
BMOA,Bachelor of Management and Office Administration,School of Business and Economics
BMED,Bachelor of Medicine and Surgery,School of Medicine
BPHARM,Bachelor of Pharmacy,School of Pharmacy
BPROC,Bachelor of Procurement,School of Procurement and Supply Chain
BPH,Bachelor of Public Health,School of Public Health
BSC-ACT,Bachelor of Science in Actuarial Science,School of Mathematical Sciences
